country,city,latitude,longitude
Afghanistan,Kabul,34.5167,69.1833
Aland Islands,Mariehamn,60.1167,19.9
Albania,Tirana,41.3167,19.8167
Algeria,Algiers,36.75,3.05
American Samoa,Pago Pago,-14.2667,-170.7
Andorra,Andorra la Vella,42.5,1.5167
Angola,Luanda,-8.8333,13.2167
Anguilla,The Valley,18.2167,-63.05
Antigua and Barbuda,Saint John’s,17.1167,-61.85
Argentina,Buenos Aires,-34.5833,-58.6667
Armenia,Yerevan,40.1667,44.5
Aruba,Oranjestad,12.5167,-70.0333
Australia,Canberra,-35.2667,149.1333
Austria,Vienna,48.2,16.3667
Azerbaijan,Baku,40.3833,49.8667
Bahamas,Nassau,25.0833,-77.35
Bahrain,Manama,26.2333,50.5667
Bangladesh,Dhaka,23.7167,90.4
Barbados,Bridgetown,13.1,-59.6167
Belarus,Minsk,53.9,27.5667
Belgium,Brussels,50.8333,4.3333
Belize,Belmopan,17.25,-88.7667
Benin,Porto-Novo,6.4833,2.6167
Bermuda,Hamilton,32.2833,-64.7833
Bhutan,Thimphu,27.4667,89.6333
Bolivia,La Paz,-16.5,-68.15
Bosnia and Herzegovina,Sarajevo,43.8667,18.4167
Botswana,Gaborone,-24.6333,25.9
Brazil,Brasilia,-15.7833,-47.9167
British Indian Ocean Territory,Diego Garcia,-7.3,72.4
British Virgin Islands,Road Town,18.4167,-64.6167
Brunei Darussalam,Bandar Seri Begawan,4.8833,114.9333
Bulgaria,Sofia,42.6833,23.3167
Burkina Faso,Ouagadougou,12.3667,-1.5167
Burundi,Bujumbura,-3.3667,29.35
Cambodia,Phnom Penh,11.55,104.9167
Cameroon,Yaounde,3.8667,11.5167
Canada,Toronto,43.65107,-79.347015
Canada,Ottawa,45.4167,-75.7
Cape Verde,Praia,14.9167,-23.5167
Cayman Islands,George Town,19.3,-81.3833
Central African Republic,Bangui,4.3667,18.5833
Chad,N’Djamena,12.1,15.0333
Chile,Santiago,-33.45,-70.6667
China,Beijing,39.9167,116.3833
Christmas Island,The Settlement,-10.4167,105.7167
Cocos Islands,West Island,-12.1667,96.8333
Colombia,Bogota,4.6,-74.0833
Comoros,Moroni,-11.7,43.2333
Cook Islands,Avarua,-21.2,-159.7667
Costa Rica,San Jose,9.9333,-84.0833
Cote d’Ivoire,Yamoussoukro,6.8167,-5.2667
Croatia,Zagreb,45.8,16
Cuba,Havana,23.1167,-82.35
CuraÃ§ao,Willemstad,12.1,-68.9167
Cyprus,Nicosia,35.1667,33.3667
Czech Republic,Prague,50.0833,14.4667
Democratic Republic of the Congo,Kinshasa,-4.3167,15.3
Denmark,Copenhagen,55.6667,12.5833
Djibouti,Djibouti,11.5833,43.15
Dominica,Roseau,15.3,-61.4
Dominican Republic,Santo Domingo,18.4667,-69.9
Ecuador,Quito,-0.2167,-78.5
Egypt,Cairo,30.05,31.25
El Salvador,San Salvador,13.7,-89.2
Equatorial Guinea,Malabo,3.75,8.7833
Eritrea,Asmara,15.3333,38.9333
Estonia,Tallinn,59.4333,24.7167
